Group,Team,Elo,HostEloBoost,AdjustedElo,Rating,Attack,Defense,Finish1st,Finish2nd,Finish3rd,Finish4th,AdvanceFromGroup,EliminatedInGroup,GroupWinner,AdvanceR32,AdvanceR16,Quarterfinals,Semifinals,Final,Champion,ContenderTier
J,Argentina,2115,0,2115,97.72,97.72,97.72,66.1,20.0,10.9,3.0,95.5,4.5,66.1,95.5,67.9,50.5,34.4,23.5,14.7,Favorite
H,Spain,2157,0,2157,100.0,100.0,100.0,70.2,22.1,6.3,1.4,97.9,2.1,70.2,97.9,69.8,48.6,36.2,23.5,14.4,Favorite
I,France,2063,0,2063,94.89,94.89,94.89,49.5,26.9,16.9,6.7,90.0,10.0,49.5,90.0,63.2,43.5,27.2,17.4,10.6,Favorite
L,England,2024,0,2024,92.77,92.77,92.77,52.6,30.4,13.4,3.6,93.8,6.2,52.6,93.8,60.3,38.3,23.4,13.0,6.9,Contender
K,Portugal,1989,0,1989,90.87,90.87,90.87,39.4,32.2,19.5,8.9,87.5,12.5,39.4,87.5,53.7,31.2,17.5,10.6,6.1,Contender
C,Brazil,1991,0,1991,90.98,90.98,90.98,48.4,30.6,15.6,5.4,90.8,9.2,48.4,90.8,57.4,33.0,18.5,10.1,5.2,Contender
K,Colombia,1982,0,1982,90.49,90.49,90.49,44.0,28.5,18.8,8.7,86.5,13.5,44.0,86.5,54.4,33.8,19.4,9.5,4.8,Contender
F,Netherlands,1948,0,1948,88.64,88.64,88.64,40.2,32.3,18.0,9.5,87.0,13.0,40.2,87.0,48.5,28.6,15.1,7.2,3.9,Contender
E,Germany,1932,0,1932,87.77,87.77,87.77,39.7,34.9,19.2,6.2,90.0,10.0,39.7,90.0,50.3,25.9,14.3,6.5,3.3,Contender
A,Mexico,1875,35,1910,86.58,86.58,86.58,47.8,27.4,16.7,8.1,88.4,11.6,47.8,88.4,54.1,24.1,11.2,6.0,2.9,Dark Horse
B,Switzerland,1891,0,1891,85.54,85.54,85.54,50.8,30.6,14.5,4.1,93.4,6.6,50.8,93.4,56.0,29.6,13.6,6.5,2.4,Dark Horse
I,Norway,1914,0,1914,86.79,86.79,86.79,27.2,32.2,26.0,14.6,77.6,22.4,27.2,77.6,43.3,24.5,12.9,6.6,2.4,Dark Horse
H,Uruguay,1892,0,1892,85.6,85.6,85.6,22.0,49.0,20.3,8.7,84.4,15.6,22.0,84.4,39.9,20.5,10.7,3.9,2.4,Dark Horse
L,Croatia,1912,0,1912,86.68,86.68,86.68,32.6,36.2,21.8,9.4,84.7,15.3,32.6,84.7,44.5,21.5,10.7,4.9,2.3,Dark Horse
E,Ecuador,1938,0,1938,88.1,88.1,88.1,44.2,32.3,16.6,6.9,89.1,10.9,44.2,89.1,51.1,26.8,12.3,6.0,2.3,Dark Horse
F,Japan,1906,0,1906,86.36,86.36,86.36,34.9,32.0,22.2,10.9,84.0,16.0,34.9,84.0,44.0,23.2,11.3,4.7,2.1,Dark Horse
G,Belgium,1894,0,1894,85.71,85.71,85.71,46.6,27.5,17.1,8.8,88.0,12.0,46.6,88.0,51.9,25.7,10.7,4.8,2.1,Dark Horse
D,Turkey,1911,0,1911,86.63,86.63,86.63,35.2,28.7,21.6,14.5,81.2,18.8,35.2,81.2,51.2,25.6,12.2,4.6,2.1,Dark Horse
C,Morocco,1827,0,1827,82.07,82.07,82.07,26.9,31.5,25.2,16.4,76.8,23.2,26.9,76.8,34.5,17.8,8.4,3.5,1.3,Dark Horse
I,Senegal,1860,0,1860,83.86,83.86,83.86,19.1,29.4,33.0,18.5,70.5,29.5,19.1,70.5,34.6,16.4,7.6,2.8,1.3,Dark Horse
C,Scotland,1782,0,1782,79.62,79.62,79.62,19.8,27.5,31.2,21.5,71.4,28.6,19.8,71.4,31.3,13.6,6.5,2.5,1.0,Dark Horse
B,Canada,1788,35,1823,81.85,81.85,81.85,35.5,36.0,20.5,8.0,86.0,14.0,35.5,86.0,47.4,21.4,9.0,2.9,0.9,Long Shot
G,Iran,1772,0,1772,79.08,79.08,79.08,26.2,29.2,24.4,20.2,72.4,27.6,26.2,72.4,34.6,14.4,5.6,2.5,0.9,Long Shot
D,Australia,1777,0,1777,79.35,79.35,79.35,17.8,23.9,27.3,31.0,61.2,38.8,17.8,61.2,30.9,12.4,4.8,1.7,0.6,Long Shot
J,Austria,1830,0,1830,82.23,82.23,82.23,17.0,34.7,25.9,22.4,69.0,31.0,17.0,69.0,27.1,13.3,5.9,2.9,0.6,Long Shot
A,South Korea,1758,0,1758,78.32,78.32,78.32,23.2,30.3,29.1,17.4,74.4,25.6,23.2,74.4,37.6,15.3,4.9,1.8,0.5,Long Shot
D,Paraguay,1834,0,1834,82.45,82.45,82.45,26.0,25.3,25.1,23.6,68.4,31.6,26.0,68.4,35.6,14.5,5.1,1.3,0.4,Long Shot
A,Czechia,1740,0,1740,77.34,77.34,77.34,23.4,29.6,28.9,18.1,73.6,26.4,23.4,73.6,34.7,13.3,4.0,1.0,0.3,Long Shot
L,Panama,1730,0,1730,76.79,76.79,76.79,12.2,24.9,39.2,23.7,62.1,37.9,12.2,62.1,23.8,8.6,3.0,0.9,0.2,Long Shot
J,Algeria,1772,0,1772,79.08,79.08,79.08,11.4,26.5,32.8,29.3,59.1,40.9,11.4,59.1,20.9,9.4,3.5,1.0,0.2,Long Shot
D,United States,1726,35,1761,78.48,78.48,78.48,21.0,22.1,26.0,30.9,61.0,39.0,21.0,61.0,28.9,10.6,2.8,0.8,0.2,Long Shot
K,DR Congo,1652,0,1652,72.55,72.55,72.55,7.3,18.6,27.7,46.4,42.0,58.0,7.3,42.0,12.8,2.9,1.0,0.2,0.1,Long Shot
E,Ivory Coast,1695,0,1695,74.89,74.89,74.89,14.1,25.1,39.5,21.3,65.4,34.6,14.1,65.4,23.3,7.4,2.5,1.1,0.1,Long Shot
G,Egypt,1696,0,1696,74.95,74.95,74.95,19.6,26.3,29.5,24.6,65.3,34.7,19.6,65.3,25.5,8.6,2.7,0.6,0.1,Long Shot
I,Iraq,1607,0,1607,70.11,70.11,70.11,4.2,11.5,24.1,60.2,28.7,71.3,4.2,28.7,7.7,2.2,0.6,0.1,0.1,Long Shot
A,South Africa,1517,0,1517,65.22,65.22,65.22,5.6,12.7,25.3,56.4,33.3,66.7,5.6,33.3,11.2,3.1,0.7,0.1,0.1,Long Shot
F,Sweden,1712,0,1712,75.82,75.82,75.82,15.7,20.2,31.0,33.1,55.7,44.3,15.7,55.7,21.2,8.4,2.4,0.8,0.1,Long Shot
J,Jordan,1680,0,1680,74.08,74.08,74.08,5.5,18.8,30.4,45.3,41.8,58.2,5.5,41.8,11.9,4.2,1.5,0.7,0.1,Long Shot
K,Uzbekistan,1714,0,1714,75.92,75.92,75.92,9.3,20.7,34.0,36.0,51.2,48.8,9.3,51.2,18.8,5.7,1.8,0.8,0.0,Very Long Shot
L,Ghana,1510,0,1510,64.84,64.84,64.84,2.6,8.5,25.6,63.3,24.3,75.7,2.6,24.3,5.0,0.5,0.1,0.0,0.0,Very Long Shot
E,Curacao,1434,0,1434,60.71,60.71,60.71,2.0,7.7,24.7,65.6,21.4,78.6,2.0,21.4,4.4,0.8,0.0,0.0,0.0,Very Long Shot
B,Bosnia and Herzegovina,1595,0,1595,69.46,69.46,69.46,10.0,22.5,38.1,29.4,57.6,42.4,10.0,57.6,20.1,6.2,1.5,0.3,0.0,Very Long Shot
B,Qatar,1421,0,1421,60.0,60.0,60.0,3.7,10.9,26.9,58.5,29.2,70.8,3.7,29.2,5.6,0.9,0.1,0.0,0.0,Very Long Shot
H,Saudi Arabia,1576,0,1576,68.42,68.42,68.42,3.4,15.8,38.0,42.8,39.8,60.2,3.4,39.8,10.5,2.9,0.6,0.2,0.0,Very Long Shot
H,Cape Verde,1578,0,1578,68.53,68.53,68.53,4.4,13.1,35.4,47.1,34.6,65.4,4.4,34.6,8.2,2.0,0.4,0.0,0.0,Very Long Shot
G,New Zealand,1562,0,1562,67.66,67.66,67.66,7.6,17.0,29.0,46.4,42.3,57.7,7.6,42.3,11.5,3.1,0.3,0.1,0.0,Very Long Shot
F,Tunisia,1628,0,1628,71.25,71.25,71.25,9.2,15.5,28.8,46.5,42.1,57.9,9.2,42.1,11.3,3.4,0.9,0.0,0.0,Very Long Shot
C,Haiti,1548,0,1548,66.9,66.9,66.9,4.9,10.4,28.0,56.7,29.6,70.4,4.9,29.6,7.6,1.8,0.2,0.1,0.0,Very Long Shot
