Team,Elo,HostEloBoost,AdjustedElo,Rating,Attack,Defense
Spain,2157,0,2157,100.0,100.0,100.0
Argentina,2115,0,2115,97.72,97.72,97.72
France,2063,0,2063,94.89,94.89,94.89
England,2024,0,2024,92.77,92.77,92.77
Brazil,1991,0,1991,90.98,90.98,90.98
Portugal,1989,0,1989,90.87,90.87,90.87
Colombia,1982,0,1982,90.49,90.49,90.49
Netherlands,1948,0,1948,88.64,88.64,88.64
Ecuador,1938,0,1938,88.1,88.1,88.1
Germany,1932,0,1932,87.77,87.77,87.77
Norway,1914,0,1914,86.79,86.79,86.79
Croatia,1912,0,1912,86.68,86.68,86.68
Turkey,1911,0,1911,86.63,86.63,86.63
Mexico,1875,35,1910,86.58,86.58,86.58
Japan,1906,0,1906,86.36,86.36,86.36
Belgium,1894,0,1894,85.71,85.71,85.71
Uruguay,1892,0,1892,85.6,85.6,85.6
Switzerland,1891,0,1891,85.54,85.54,85.54
Senegal,1860,0,1860,83.86,83.86,83.86
Paraguay,1834,0,1834,82.45,82.45,82.45
Austria,1830,0,1830,82.23,82.23,82.23
Morocco,1827,0,1827,82.07,82.07,82.07
Canada,1788,35,1823,81.85,81.85,81.85
Scotland,1782,0,1782,79.62,79.62,79.62
Australia,1777,0,1777,79.35,79.35,79.35
Algeria,1772,0,1772,79.08,79.08,79.08
Iran,1772,0,1772,79.08,79.08,79.08
United States,1726,35,1761,78.48,78.48,78.48
South Korea,1758,0,1758,78.32,78.32,78.32
Czechia,1740,0,1740,77.34,77.34,77.34
Panama,1730,0,1730,76.79,76.79,76.79
Uzbekistan,1714,0,1714,75.92,75.92,75.92
Sweden,1712,0,1712,75.82,75.82,75.82
Egypt,1696,0,1696,74.95,74.95,74.95
Ivory Coast,1695,0,1695,74.89,74.89,74.89
Jordan,1680,0,1680,74.08,74.08,74.08
DR Congo,1652,0,1652,72.55,72.55,72.55
Tunisia,1628,0,1628,71.25,71.25,71.25
Iraq,1607,0,1607,70.11,70.11,70.11
Bosnia and Herzegovina,1595,0,1595,69.46,69.46,69.46
Cape Verde,1578,0,1578,68.53,68.53,68.53
Saudi Arabia,1576,0,1576,68.42,68.42,68.42
New Zealand,1562,0,1562,67.66,67.66,67.66
Haiti,1548,0,1548,66.9,66.9,66.9
South Africa,1517,0,1517,65.22,65.22,65.22
Ghana,1510,0,1510,64.84,64.84,64.84
Curacao,1434,0,1434,60.71,60.71,60.71
Qatar,1421,0,1421,60.0,60.0,60.0
